id,category,feature,detail,market,evidence,status,gap_solution,effort
IFACE-01,Provider interface,GetKeyStorageInterface export,Sole exported symbol; returns the KSP function table,All providers,A,Covered,,
IFACE-02,Provider interface,OpenProvider / FreeProvider,Provider handle lifecycle,All providers,A,Covered,,
IFACE-03,Provider interface,GetProviderProperty,Name / Version / ImplType,All providers,A,Covered,,
IFACE-04,Provider interface,SetProviderProperty,Provider-level configuration,Vendor-specific,C,Partial,"NCRYPT_PIN_PROPERTY is implemented: the PIN is handed to the session layer, and because sessions open lazily a PIN set before the first cryptographic call is the one used to log in. Token selection is read-only through this call by design — the session pool is already bound to a slot by then and PKCS#11 cannot move a session between tokens, so accepting the value would be worse than refusing it. Choose the token with SOFTHSM2_SLOT or SOFTHSM2_TOKEN_LABEL and read it back with KSP_SLOT_PROPERTY.",M
IFACE-05,Provider interface,NotifyChangeKey,Key-change notification handle,Microsoft KSP,B,Not covered,Returns ERROR_SUCCESS as a no-op. Real support needs a registry/file watcher on the token store and an event object per caller.,L
IFACE-06,Provider interface,GetOperationProperty,Async / overlapped operation state,Microsoft KSP,B,Not covered,Returns NTE_NOT_SUPPORTED. Only needed for overlapped I/O; PKCS#11 is synchronous so there is nothing to report.,L
IFACE-07,Provider interface,PromptUser,Interactive PIN / consent dialog,Smart card KSPs,B,Not covered,Returns NTE_NOT_SUPPORTED. Would need a UI thread and a window handle from NCRYPT_WINDOW_HANDLE_PROPERTY.,L
IFACE-08,Provider interface,FreeBuffer / FreeObject,Provider-allocated memory release,All providers,A,Covered,,
TABLE-01,Provider interface,Function table layout matches the SDK,NCRYPT_KEY_STORAGE_FUNCTION_TABLE slot order and membership,All providers,A,Partial,"The table uses designated initialisers, so the SDK header assigns slots by name and a wrong name is a build error rather than a displaced slot. IsAlgSupported, EnumAlgorithms and VerifySignature implemented and wired; the invented GetOperationProperty and FreeObject slots removed. test_function_table.c covers ksp_main.c for the first time. Cannot be confirmed against the real ncrypt_provider.h until that header is available — see BUILD-01.",S
BUILD-01,Provider interface,Builds for Windows at all,The shipped artefact is a Windows DLL,All providers,A,Partial,"Phase 0 fixed all six root causes. MSVC compiles nine of the ten source files clean at /W3 /WX and links test_p11_layer. ksp_main.c cannot be built in hosted CI: ncrypt_provider.h does not exist on a windows-latest runner, established by a dir /s /b across C: and D: that returned only this repo's own test mock, after a WDK install that reported success. Needs a machine that has the header.",M
BUILD-02,Provider interface,Continuous integration,Automated build and test on the target platform,All providers,A,Covered,,
RSA-01,Asymmetric RSA,RSA key generation,2048 / 3072 / 4096 bits,All providers,A,Covered,,
RSA-02,Asymmetric RSA,RSA 1024 and below,512-1024 bits,MS Software KSP; Utimaco,B,Partial,"Build-time opt-in only. KSP_RSA_MIN_BITS defaults to 2048; a legacy build can lower it, but the shipped default still rejects <2048 with NTE_BAD_LEN. Deliberate: silently allowing 1024 would weaken every deployment.",S
RSA-03,Asymmetric RSA,RSA above 4096,8192 / 16384 bits,MS Software KSP; Utimaco,B,Covered,,
RSA-04,Asymmetric RSA,RSA arbitrary size increments,64-bit (MS) or 8-bit (Utimaco) steps,MS Software KSP; Utimaco,B,Covered,,
RSA-05,Asymmetric RSA,Custom public exponent,Exponent other than 65537,Vendor-specific,C,Covered,,
RSA-06,Asymmetric RSA,PKCS#1 v1.5 signing,SHA-1 / 256 / 384 / 512,All providers,A,Covered,,
RSA-07,Asymmetric RSA,PSS signing,SHA-1 / 256 / 384 / 512 with caller salt length,All providers,B,Covered,,
RSA-08,Asymmetric RSA,PSS with SHA-224,SHA-224 salt and MGF1,Unknown,C,Covered,,
